streetAddress,zipcode,livingArea,Price,zpid,walk_score,transit_score,felony_count,misdemeanor_count,violation_count,population_per_1000,median_income,
3738 77th St,11372,1848,1250000,31957877,99,100,4808,8043,2222,67.252,62910,
1097 E 95th St,11236,1860,600000,30773968,85,92,7148,11138,4558,102.238,73562,
4718 158th St,11358,1869,700000,32048681,80,71,1681,1787,725,38.103,74854,
435 W 263rd St,10471,1872,295000,29854060,83,68,1350,1799,564,23.387,96368,
1250 E 95th St,11236,1872,209000,30775247,84,88,7148,11138,4558,102.238,73562,
20821 110th Ave,11429,1886,550000,32161217,76,70,1969,2696,1108,28.643,89318,
2520 E 19th St,11235,1887,532000,30748850,96,84,4749,7226,1987,84.859,58669,
890 E New York Ave,11203,1897,827000,30650201,91,100,7415,10214,4475,79.499,61414,
6817 Ingram St,11375,1900,1070000,32003169,84,100,2691,6747,1430,76.091,96321,
7218 66th Pl,11385,1900,575000,32015302,94,73,6596,11146,3311,109.111,77350,
21712 64th Ave,11364,1900,520000,32087068,80,62,1601,1431,645,39.015,90970,
4379 Richardson Ave,10466,1900,549000,29838171,89,89,6496,11266,4287,75.767,62918,
4311 167th St,11358,1908,699888,32047319,89,73,1681,1787,725,38.103,74854,
523 117th St,11356,1920,800000,32020986,58,55,1554,2920,1028,27.295,73318,
2491 Marion Ave,10458,1922,249000,29784070,98,100,8717,14920,4186,86.757,38768,
493 Marcy Ave,11206,1944,1299000,30606742,84,98,10321,16686,5352,90.903,49013,
189 Hopkins St,11206,1944,565000,30606715,95,100,10321,16686,5352,90.903,49013,
4529 Utopia Pkwy,11358,1950,718000,32049353,86,72,1681,1787,725,38.103,74854,
307 Carroll St,11231,1960,487000,30572484,97,100,3064,4551,1109,40.311,121638,
8645 Avon St,11432,1960,419000,32135787,88,100,5991,9091,2272,64.858,66246,
1038 E 22nd St,11210,1980,360000,30751311,49,100,4498,7125,2208,65.854,77378,
12709 95th Ave,11419,1980,275500,32122895,81,100,3567,5027,2000,50.107,84245,
665 Autumn Ave,11208,1995,545000,30646140,80,89,12008,15377,5263,107.724,49679,
3532 Carlisle Pl,10467,2000,350000,83178286,87,95,10256,17424,5562,102.209,42639,
1136 Herkimer St,11233,2000,1104995,30601485,84,100,9165,13371,5500,85.633,52380,
7719 Parsons Blvd,11366,2000,886000,32072685,88,74,609,847,288,13.922,100781,
2040 Continental Ave,10461,2000,466800,29817044,87,90,4357,7747,2624,52.756,61087,
6227 Burchell Rd,11692,2000,338140,63231114,67,71,1883,2692,1202,24.639,53498,
70 Sommer Ave,10314,2000,280000,32310711,77,59,3723,8850,3294,93.736,94578,
2238 E 74th St,11234,2000,929000,30782897,55,67,5551,8786,2903,94.254,86185,
16419 110th Rd,11433,2000,749000,32139273,71,83,4530,7379,1942,41.396,68801,
10927 174th St,11433,2006,430000,32141092,73,78,4530,7379,1942,41.396,68801,
2217 E 19th St,11229,2011,225000,30745795,94,82,4141,6429,1693,85.538,69076,
807 E 222nd St,10467,2016,409950,29832298,90,89,10256,17424,5562,102.209,42639,
720 E 175th St,10457,2028,490000,29783037,84,98,10195,17954,5893,79.443,38066,
8723 143rd St,11435,2030,400000,32130284,89,100,4707,6241,1831,60.842,71346,
837 Caton Ave,11218,2040,1550000,30672684,94,99,2803,4330,1390,76.37,81857,
33 Paerdegat 8th St,11236,2040,590000,30770769,48,72,7148,11138,4558,102.238,73562,
797 Ocean Ave,11226,2048,1700000,30667768,92,100,9695,14147,4933,99.776,66173,
309 Beach 91st St,11693,2048,458000,32225540,90,83,1620,2611,901,14.147,64688,
4056 Edson Ave #A,10466,2050,656000,82814640,80,72,6496,11266,4287,75.767,62918,
3231 N Chestnut Dr,10467,2052,499999,29825378,87,94,10256,17424,5562,102.209,42639,
9525 124th St,11419,2072,390000,32123363,78,95,3567,5027,2000,50.107,84245,
1389 Crotona Ave,10456,2076,575000,29782923,83,99,10380,17110,6731,90.314,31166,
1448 35th St,11218,2080,645000,30673575,93,96,2803,4330,1390,76.37,81857,
294 Parkville Ave,11230,2080,1799000,30676365,81,92,3443,5521,1620,91.789,61017,
12816 23rd Ave,11356,2080,520000,32024886,82,62,1554,2920,1028,27.295,73318,
214 Evergreen Ave,10305,2080,320000,32327424,78,69,1958,4006,1846,44.531,76833,
4232 65th St,11377,2088,215000,31959367,90,100,4741,7506,2685,85.255,66325,
1284 Mace Ave,10469,2100,447000,29821494,53,81,4703,8301,2858,75.29,70415,
9924 62nd Dr,11374,2104,380000,31977348,86,99,1560,3710,919,47.019,79221,
2736 E 64th St,11234,2120,875000,30787524,48,73,5551,8786,2903,94.254,86185,
2327 Ellis Ave,10462,2121,468085,29797551,87,91,5578,9030,3028,78.47,59032,
18619 140th Ave,11413,2148,625000,68316402,66,68,3201,3906,1795,45.661,104236,
17511 74th Ave,11366,2155,625000,32075946,76,71,609,847,288,13.922,100781,
11101 Myrtle Ave,11418,2165,548000,32116560,77,82,2509,4743,1565,38.938,77708,
1036 40th St,11219,2166,560000,30683366,89,89,3547,5492,1379,93.119,44450,
831 S Oak Dr,10467,2192,230000,29825399,86,92,10256,17424,5562,102.209,42639,
356 Wilson Ave,11221,2199,640000,82781382,85,100,9291,12944,4695,89.728,66923,
550 E 2nd St,11218,2200,306000,30674970,89,95,2803,4330,1390,76.37,81857,
22134 91st Rd,11428,2200,229000,32151690,79,77,1505,2310,807,21.184,83417,
27 Jackson Ave,10305,2200,725000,32323083,75,68,1958,4006,1846,44.531,76833,
2397 Walton Ave,10468,2220,490000,29785964,95,100,7728,12132,3284,82.48,40138,
10712 91st Ave,11418,2226,560000,32119261,84,86,2509,4743,1565,38.938,77708,
2717 E 65th St,11234,2226,275000,30787648,47,71,5551,8786,2903,94.254,86185,
177 W Buchanan St #79,10301,2232,308000,32271957,41,58,3648,7624,2999,38.736,78053,
1817 Bogart Ave,10462,2240,495000,29814958,93,89,5578,9030,3028,78.47,59032,
932 Neill Ave,10462,2244,550000,29817502,75,91,5578,9030,3028,78.47,59032,
5882 Amboy Rd,10309,2250,599999,68322203,62,59,1115,2261,881,35.832,107500,
2447 Mickle Ave,10469,2250,410000,29822068,65,74,4703,8301,2858,75.29,70415,
56 Copley St,10314,2264,590000,32313805,58,60,3723,8850,3294,93.736,94578,
630 Avenue O,11230,2268,858500,30719999,88,93,3443,5521,1620,91.789,61017,
135 Highview Ave,10301,2268,315000,32271572,59,70,3648,7624,2999,38.736,78053,
310 E 81st St,10028,2270,2000000,31543958,99,100,2816,5054,821,47.793,149789,
5062 47th St,11377,2276,235000,31980239,69,75,4741,7506,2685,85.255,66325,
1083 Arnow Ave,10469,2278,650000,29824136,74,81,4703,8301,2858,75.29,70415,
9038 51st Ave,11373,2300,540000,31972552,84,100,6586,12244,2757,102.104,62072,
9735 63rd Dr,11374,2304,315000,31977131,91,100,1560,3710,919,47.019,79221,
8270 250th St,11426,2313,520000,32099560,84,63,898,1253,577,20.959,102818,
316 Beach 45th St,11691,2340,265000,32223756,42,73,6250,9127,4297,70.797,54877,
8238 Kew Gardens Rd,11415,2341,670000,32006681,88,100,657,1184,433,20.351,80360,
3133 36th St,11106,2350,280000,31940113,98,100,2516,4798,1574,40.472,71972,
34 Shepherd Ave,11208,2358,1200000,30636934,74,79,12008,15377,5263,107.724,49679,
2215 Nameoke Ave,11691,2368,429999,68316477,82,75,6250,9127,4297,70.797,54877,
3955 Hill Ave,10466,2376,298000,29835239,78,71,6496,11266,4287,75.767,62918,
507 Crown St,11213,2380,1100000,30594326,93,100,7022,10632,4021,69.392,48896,
92 Nugent St,10306,2400,865000,68316818,65,53,2306,5154,2279,55.805,88687,
14362 230th Pl,11413,2400,470000,32209416,58,62,3201,3906,1795,45.661,104236,
3252 Hatting Pl,10465,2400,430000,29847263,30,45,3015,6081,2197,46.205,80245,
2067 Royce St,11234,2404,410000,30782429,57,73,5551,8786,2903,94.254,86185,
623 Baltic St,11217,2437,280000,30581873,95,100,4719,8645,2391,42.107,133269,
3343 Seymour Ave,10469,2440,565000,29829438,80,78,4703,8301,2858,75.29,70415,
453 Clove Rd,10310,2450,399000,32276680,79,64,1794,3431,1457,25.976,96161,
3553 93rd St,11372,2452,816000,31963741,94,96,4808,8043,2222,67.252,62910,
282 W End Ave,11235,2464,990000,30790377,82,76,4749,7226,1987,84.859,58669,
761 E 231st St,10466,2478,250000,29832245,91,89,6496,11266,4287,75.767,62918,
988 E 241st St,10466,2480,400000,29839818,69,82,6496,11266,4287,75.767,62918,
3213 112th St,11369,2482,1100000,89066536,77,77,3675,7056,1754,31.55,66132,
12111 Guy R Brewer Blvd,11434,2482,536000,119532853,82,71,7012,11046,3279,66.424,66546,
3222 Randolph Pl,10465,2495,295000,29843641,44,73,3015,6081,2197,46.205,80245,
8549 Avon St,11432,2500,720000,32135817,80,100,5991,9091,2272,64.858,66246,
186 Russell St,11222,2503,1950000,30621345,90,70,3536,4938,1673,39.669,110385,
1066 E 27th St,11210,2504,800000,30752351,81,98,4498,7125,2208,65.854,77378,
18638 Midland Pkwy,11432,2509,765000,32080937,75,72,5991,9091,2272,64.858,66246,
1443 Bryant Ave,10459,2520,480284,29783871,79,100,6887,11912,4046,51.303,36631,
158 Peter Ave,10306,2545,660000,32337719,79,69,2306,5154,2279,55.805,88687,
1116 42nd St,11219,2596,287500,30683778,91,86,3547,5492,1379,93.119,44450,
2190 E 2nd St,11223,2600,850000,30737061,90,92,4282,7031,1942,83.565,57281,
811 S Oak Dr,10467,2600,275000,29825402,88,94,10256,17424,5562,102.209,42639,
1342 Taylor Ave,10472,2604,318000,29798257,95,100,7129,10131,3764,66.72,36730,
4112 Monticello Ave,10466,2614,447945,29837911,67,67,6496,11266,4287,75.767,62918,
433 Eastern Pkwy,11216,2628,385000,30593051,96,100,6820,9320,3235,62.21,84661,
1234 Ward Ave,10472,2646,290000,29795914,90,96,7129,10131,3764,66.72,36730,
2909 Cruger Ave,10467,2650,450000,29823903,87,93,10256,17424,5562,102.209,42639,
3811 Kings Hwy,11234,2660,733140,30761658,92,86,5551,8786,2903,94.254,86185,
11912 Park Ln S,11415,2660,1289000,32006027,69,100,657,1184,433,20.351,80360,
7606 173rd St,11366,2685,760000,32076604,78,71,609,847,288,13.922,100781,
2230 E 12th St,11229,2720,900000,30745377,96,86,4141,6429,1693,85.538,69076,
36 Hope Ave,10305,2720,569000,32319245,76,65,1958,4006,1846,44.531,76833,
8015 188th St,11423,2727,960000,32081016,87,68,1969,2658,942,30.983,69386,
7406 85th Dr,11421,2750,425000,32105304,79,73,1671,3324,1085,42.704,76721,
2428 95th St,11369,2760,293000,31952994,78,69,3675,7056,1754,31.55,66132,
853 E 242nd St,10470,2772,700000,29840303,78,84,1512,2447,786,16.446,70107,
416 58th St,11220,2880,870000,30579335,95,100,7084,10130,2413,93.584,57046,
793 Drew St,11208,2880,725500,30649786,59,81,12008,15377,5263,107.724,49679,
181 Ashland Pl,11217,2900,1300000,30615428,97,100,4719,8645,2391,42.107,133269,
59 Massachusetts St S,10307,2900,999000,32376695,28,54,678,1537,469,14.828,117469,
12019 83rd Ave,11415,2904,370000,32006078,92,100,657,1184,433,20.351,80360,
564 Kingston Ave,11203,2948,1150000,30657246,86,99,7415,10214,4475,79.499,61414,
1428 Vyse Ave,10459,2958,507135,83179284,79,100,6887,11912,4046,51.303,36631,
1173 Grant Ave,10456,2960,425000,29778230,89,100,10380,17110,6731,90.314,31166,
506 Montgomery St,11225,2986,625000,30594798,92,100,4579,7680,2697,59.465,68542,
1123 Noble Ave,10472,2992,315000,29794881,90,90,7129,10131,3764,66.72,36730,
9612 Shore Front Pkwy,11693,3000,490000,64660718,84,83,1620,2611,901,14.147,64688,
706 Banner Ave,11235,3040,699000,30740640,95,85,4749,7226,1987,84.859,58669,
35 Radford St,10314,3110,525000,32312818,69,60,3723,8850,3294,93.736,94578,
1977 W 10th St #4,11223,3120,550000,30734350,90,100,4282,7031,1942,83.565,57281,
623 45th St,11220,3150,830000,30575403,91,96,7084,10130,2413,93.584,57046,
7532 167th St,11366,3150,740000,32075978,59,72,609,847,288,13.922,100781,
3924 49th St,11104,3192,940000,31934261,93,100,1130,2005,847,27.575,81142,
2866 Brighton 4th St,11235,3200,1418000,30740484,95,91,4749,7226,1987,84.859,58669,
9347 202nd St,11423,3216,500000,32144935,78,79,1969,2658,942,30.983,69386,
412 57th St,11220,3240,500000,30579044,94,99,7084,10130,2413,93.584,57046,
762 E 234th St,10466,3240,875000,83178609,91,90,6496,11266,4287,75.767,62918,
1144 Grassmere Ter,11691,3241,489000,32222086,86,76,6250,9127,4297,70.797,54877,
1043 Virginia Ave,10472,3262,700000,29794537,90,89,7129,10131,3764,66.72,36730,
1315 Morris Ave,10456,3264,525000,29781864,86,100,10380,17110,6731,90.314,31166,
4502 74th St,11373,3269,700000,31959668,72,100,6586,12244,2757,102.104,62072,
14433 75th Rd,11367,3298,690500,32068933,91,71,2147,3536,1346,42.362,71469,
1457 Bryant Ave,10460,3300,550000,29783902,79,100,7177,12364,4242,59.979,31504,
1715 Bussing Ave,10466,3300,475000,29836913,88,88,6496,11266,4287,75.767,62918,
9943 63rd Rd,11374,3300,515000,31977389,80,98,1560,3710,919,47.019,79221,
16424 87th St,11414,3354,626604,32216484,53,52,1635,1891,765,30.915,86113,
512 Ocean View Ave,11235,3356,830000,30789597,97,88,4749,7226,1987,84.859,58669,
1494 Bryant Ave,10460,3372,489000,29783958,78,100,7177,12364,4242,59.979,31504,
10320 104th St,11417,3372,556500,32124862,92,84,2838,4172,1236,33.236,78498,
12314 9th Ave,11356,3393,710000,55732102,80,58,1554,2920,1028,27.295,73318,
1461 Ocean Pkwy,11230,3400,975000,30718922,88,93,3443,5521,1620,91.789,61017,
3818 Park Ave,10457,3402,426433,64749202,76,96,10195,17954,5893,79.443,38066,
640 Miller Ave,11207,3420,554062,30635652,80,100,14088,17544,6677,97.69,45616,
164 Covington Cir,10312,3466,899000,58578678,53,45,1450,2839,1254,63.935,100875,
6917 43rd Ave,11377,3535,520000,31959545,89,100,4741,7506,2685,85.255,66325,
599 Wyona St,11207,3588,468500,30635606,86,100,14088,17544,6677,97.69,45616,
178 Bay 25th St,11214,3600,400000,30714224,95,81,4219,8120,2493,95.361,58487,
41 Saint Marks Pl,11217,3600,370000,30571224,97,100,4719,8645,2391,42.107,133269,
1818 Avenue J,11230,3605,1395000,30724811,73,97,3443,5521,1620,91.789,61017,
8552 Wicklow Pl,11432,3636,485000,32136192,40,91,5991,9091,2272,64.858,66246,
108-15 68th Dr,11375,3700,2749000,31979127,89,100,2691,6747,1430,76.091,96321,
14825 90th Ave,11435,3720,2500000,32129916,96,100,4707,6241,1831,60.842,71346,
157 Beach 126th St,11694,3815,600000,32227036,66,71,1033,1978,780,22.432,88643,
492 Court St,11231,4000,1600000,30570818,96,94,3064,4551,1109,40.311,121638,
304 Brooklyn Ave,11213,4038,800000,30593361,89,100,7022,10632,4021,69.392,48896,
134 Puritan Ave,11375,4059,2600000,32005593,62,100,2691,6747,1430,76.091,96321,
6 Adlers Ln,10307,4200,999999,32374968,58,53,678,1537,469,14.828,117469,
921 Forest Ave,10310,4200,475000,32276793,83,63,1794,3431,1457,25.976,96161,
236 Richmond Ter,10301,4232,720000,68316752,83,76,3648,7624,2999,38.736,78053,
1824 Andrews Ave,10453,4312,480000,29782484,86,100,6907,12377,4814,80.393,34860,
1897 Crotona Ave,10457,4395,999000,82830072,90,98,10195,17954,5893,79.443,38066,
1938 Loring Pl S,10453,4420,483000,29786534,86,100,6907,12377,4814,80.393,34860,
11046 Corona Ave,11368,4608,947830,117614968,67,66,7152,10401,3314,116.469,62254,
116 E 16th St,11226,4744,475000,30666310,89,100,9695,14147,4933,99.776,66173,
21 Santo Ct,10306,4770,1250000,58577504,66,51,2306,5154,2279,55.805,88687,
337 Deere Park Pl,10301,5000,1340000,32288403,16,59,3648,7624,2999,38.736,78053,
11034 68th Rd,11375,5000,1465000,31979282,76,100,2691,6747,1430,76.091,96321,
2281 E 66th St,11234,5500,1580000,30788286,70,67,5551,8786,2903,94.254,86185,
643 Saint Marks Ave,11216,5652,2999000,30591566,97,100,6820,9320,3235,62.21,84661,
32 E 38th St,10016,6478,1800000,31505223,99,100,4911,7448,1911,56.758,136431,
17 E 83rd St,10028,7400,18500000,31540408,98,100,2816,5054,821,47.793,149789,
2020 Saint Paul Ave,10461,1920,227000,29817072,87,90,4357,7747,2624,52.756,61087,
607 E 17th St,11226,3296,391500,30669289,88,100,9695,14147,4933,99.776,66173,
13715 Caney Ln,11422,2050,720000,59877277,78,65,1828,2479,1309,34.063,95945,
13720 246th St,11422,1512,255000,32206471,78,63,1828,2479,1309,34.063,95945,
14040 183rd St,11413,1000,399000,32202360,64,69,3201,3906,1795,45.661,104236,
13436 158th St,11434,1024,470000,32188267,73,66,7012,11046,3279,66.424,66546,
1161 E 88th St,11236,1120,140000,30770654,62,77,7148,11138,4558,102.238,73562,
10823 52nd Ave,11368,1152,689030,31976422,86,81,7152,10401,3314,116.469,62254,
10443 165th St,11433,1160,609000,32138758,90,100,4530,7379,1942,41.396,68801,
9024 182nd Pl,11423,1280,172000,32134488,89,100,1969,2658,942,30.983,69386,
21847 94th Rd,11428,1280,155000,32151277,88,81,1505,2310,807,21.184,83417,
23212 Linden Blvd,11411,1296,231000,32196586,79,56,1164,1655,626,21.605,108131,
10115 Remington St,11435,1344,430000,32136806,89,100,4707,6241,1831,60.842,71346,
13930 227th St,11413,1362,474900,32204392,62,60,3201,3906,1795,45.661,104236,
2033 Paulding Ave,10462,1578,381000,29818316,74,90,5578,9030,3028,78.47,59032,
155 Carlyle Grn,10312,1584,283250,32362125,53,46,1450,2839,1254,63.935,100875,
1001 Boston Rd,10456,1627,357285,79713120,88,100,10380,17110,6731,90.314,31166,
10111 109th St,11419,1720,190000,32122307,79,83,3567,5027,2000,50.107,84245,
47 Tabb Pl,10302,1750,425000,32297077,91,65,1462,3205,1151,18.144,73927,
21932 143rd Ave,11413,1856,680000,32202988,64,64,3201,3906,1795,45.661,104236,
19902 109th Ave,11412,1940,525000,32155102,78,74,2727,3683,1414,41.782,93429,
2576 Poplar St,10461,2036,539164,29813901,92,86,4357,7747,2624,52.756,61087,
12060 200th St,11412,2200,550000,32195408,61,63,2727,3683,1414,41.782,93429,
2929 Far Rockaway Blvd,11691,2254,575000,64506094,60,74,6250,9127,4297,70.797,54877,
1016 Kelly St #A,10459,2493,595106,83178460,92,100,6887,11912,4046,51.303,36631,
24131 148th Ave,11422,2606,635000,32213698,45,54,1828,2479,1309,34.063,95945,
470 W 144th St,10031,5155,1989000,31552901,97,100,5064,10092,3067,61.801,57180,
1416 55th St,11219,6236,985000,30687344,82,87,3547,5492,1379,93.119,44450,
15004 123rd St,11420,2160,680000,32178846,40,72,3699,5303,1883,51.831,89027,
38 W 12th Rd,11693,755,258000,32218876,47,77,1620,2611,901,14.147,64688,
186 Roosevelt Ave,10314,1020,560000,32292974,49,52,3723,8850,3294,93.736,94578,
37 W 13th Rd,11693,1040,255958,32218912,44,74,1620,2611,901,14.147,64688,
144 N Burgher Ave,10310,1050,205000,32275589,67,62,1794,3431,1457,25.976,96161,
56 W 18th Rd,11693,1090,359511,32219113,45,68,1620,2611,901,14.147,64688,
2014 Demerest Rd,11693,1173,325404,32219523,42,60,1620,2611,901,14.147,64688,
948 Clove Rd,10301,1212,340000,32279828,65,58,3648,7624,2999,38.736,78053,
24130 132nd Rd,11422,1232,430000,32201406,84,59,1828,2479,1309,34.063,95945,
3528 Amboy Rd APT F,10306,1360,400000,32345136,62,64,2306,5154,2279,55.805,88687,
21 Gregory Ln #112,10314,1530,301387,32316659,65,60,3723,8850,3294,93.736,94578,
506 Cross Bay Blvd,11693,1610,336340,32219188,31,80,1620,2611,901,14.147,64688,
1710 Tenbroeck Ave,10461,1728,524000,29814915,76,80,4357,7747,2624,52.756,61087,
651 E 226th St,10466,1732,440978,29831748,89,91,6496,11266,4287,75.767,62918,
245 Little Clove Rd,10301,1800,417375,32288212,62,63,3648,7624,2999,38.736,78053,
2067 Chatterton Ave,10472,1836,389100,29796543,89,89,7129,10131,3764,66.72,36730,
14949 Weller Ln,11422,1990,586918,32212574,39,49,1828,2479,1309,34.063,95945,
6118 Parsons Blvd,11365,2096,975000,32071457,82,72,2369,3684,1032,45.439,73279,
1602 Zerega Ave,10462,2164,473528,29812009,89,91,5578,9030,3028,78.47,59032,
2460 Lorillard Pl,10458,2184,425000,29784511,94,100,8717,14920,4186,86.757,38768,
41 Waterview Ct,10305,2376,472000,32318011,81,56,1958,4006,1846,44.531,76833,
713 E 234th St,10466,2530,414276,29836654,90,90,6496,11266,4287,75.767,62918,
388 E 155th St,10455,2970,500000,29777707,95,100,7193,12297,3674,42.781,30741,
104 Dutchess Ave,10304,3387,950000,32294659,66,60,3367,6455,2878,43.849,64539,
27 Foster Ave,10314,3390,725000,32295252,54,47,3723,8850,3294,93.736,94578,
8808 175th St,11432,3780,1350000,32132966,95,100,5991,9091,2272,64.858,66246,
1503 Bryant Ave,10460,5040,531000,83178305,78,100,7177,12364,4242,59.979,31504,
10 Utopia Ct,10304,5280,937000,32294722,59,58,3367,6455,2878,43.849,64539,
25 Callan Ave,10304,5648,2600000,32294822,23,49,3367,6455,2878,43.849,64539,
140 Nicolosi Dr,10312,9300,2990000,32366902,8,45,1450,2839,1254,63.935,100875,
1416 Cross Bay Blvd,11693,1412,189972,32219470,48,74,1620,2611,901,14.147,64688,
30 Filipe Ln #B,10308,1850,565000,2144843028,71,60,766,1409,819,30.353,116082,
3247 Fairmount Ave,10465,1728,380000,29841172,75,59,3015,6081,2197,46.205,80245,
